"date","model","question","cited","matched","error"
"2026-09-17","gemini:gemini-2.5-flash","What is Shirodhara and where does it come from?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What temperature should Shirodhara oil be?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is Shirodhara and where does it come from?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What temperature should Shirodhara oil be?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","How long does a Shirodhara session last?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","Which oil is used for Vata Shirodhara?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is Ajamodadi Churna and what is the standard dose?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is a taila in Ayurvedic pharmacy?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is an arishta and how is it different from an asava?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is Triphala and what is it traditionally used for?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is a guggulu preparation?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","What is a ghrita in Ayurveda?","no","",""
"2026-09-17","gemini:gemini-2.5-flash","Which companies make portable Shirodhara equipment?","yes","ageayurveda.com; age ayurveda; surya shirodhara",""
"2026-09-18","gemini:gemini-2.5-flash","What is Shirodhara and where does it come from?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What temperature should Shirodhara oil be?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","How long does a Shirodhara session last?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","Which oil is used for Vata Shirodhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","Which oil should be used for a Pitta constitution in Shirodhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","Can you do Shirodhara at home without an assistant?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","Who should not have Shirodhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is the difference between Shirodhara and shiro abhyanga?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is takra dhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","How much oil does a Shirodhara session use?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What equipment do you need for Shirodhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","Is a Shirodhara machine a medical device?","yes","ageayurveda.com",""
"2026-09-18","gemini:gemini-2.5-flash","What is murdha taila?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","Which classical text describes Shirodhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","How often should you have Shirodhara?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is the Ayurvedic category of Ashwagandha?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is the botanical name of Yashtimadhu and what is it used for traditionally?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What are the main withanolides in Withania somnifera?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is the dosha effect of Haridra?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is Guduchi used for in classical Ayurveda?","no","",""
"2026-09-18","gemini:gemini-2.5-flash","What is the rasa, virya and vipaka of Shatavari?","no","",""
